year;SGR;GINI;GPI;HDI;GIR;ER;Footprint;Biocapacity;GDP;GDP_growth;GDP_per_capita;GDP_Annual_growth;DowJons_in;Energy_Intensity_index
1960;;;;;;;;;59717,0000;;90,0000;;;
1961;;;;;;;;;50057,0000;;76,0000;-0,1570;;
1962;;;;;;;;;47209,0000;;70,0000;-0,0770;;
1963;;;;;;;;;50707,0000;;73,0000;0,0450;;
1964;;;;;;;;;59708,0000;;85,0000;0,1550;;
1965;;;;;;;;;70436,0000;;97,0000;0,1470;;
1966;;;;;;;;;76720,0000;;103,0000;0,0600;;
1967;;;;;;;;;72882,0000;;95,0000;-0,0730;;
1968;;;;;;;;;70847,0000;;90,0000;-0,0550;;
1969;;;;;;;;;79706,0000;;99,0000;0,0950;;
1970;;;;;;;;;92603,0000;;112,0000;0,1290;;
1971;;;;;;;;;99801,0000;0,0710;117,0000;0,0500;;
1972;;;;;;;;;113688,0000;0,0380;130,0000;0,1140;;
1973;;;;;;;;;138544,0000;0,0780;155,0000;0,1910;;
1974;;;;;;;;;144182,0000;0,0230;159,0000;0,0220;;
1975;;;;;;;;;163432,0000;0,0870;177,0000;0,1140;;
1976;;;;;;;;;153941,0000;-0,0160;164,0000;-0,0710;;
1977;;;;;;;;;174938,0000;0,0760;184,0000;0,1210;;
1978;;;;;;;;;149541,0000;0,1170;155,0000;-0,1570;;
1979;;;;;;;;;178281,0000;0,0760;183,0000;0,1770;;
1980;;;;;;;;;305348,0000;0,0780;309,0000;0,6930;;
1981;;;;;;;;;290827,0000;0,0510;291,0000;-0,0610;;
1982;;;;;;;;;286719,0000;0,0900;282,0000;-0,0300;;
1983;;;;;;;;;307677,0000;0,1080;299,0000;0,0590;;
1984;;;;;;;;;316628,0000;0,1520;303,0000;0,0160;;
1985;;;;;;;;;312616,0000;0,1340;295,0000;-0,0270;;
1986;;;;;;;;;303340,0000;0,0890;282,0000;-0,0450;;
1987;;;;;;;;;330303,0000;0,1170;302,0000;0,0710;;
1988;;;;;;;;;411923,0000;0,1120;371,0000;0,2280;;
1989;;;;;;;;;461066,0000;0,0420;409,0000;0,1030;;
1990;;32,3000;;;;;;;398623,0000;0,0390;349,0000;-0,1480;;21,0800
1991;;32,3000;;0,5020;;;;;415604,0000;0,0930;359,0000;0,0290;;18,8800
1992;;32,3000;;0,5100;;;;;495671,0000;0,1420;423,0000;0,1790;;17,0800
1993;;32,3000;;0,5210;;;;;623054,0000;0,1390;526,0000;0,2430;;15,8800
1994;;32,3000;;0,5310;;;;;566471,0000;0,1300;473,0000;-0,1010;;14,7100
1995;;32,3000;;0,5410;;;;;736870,0000;0,1100;608,0000;0,2870;;14,2300
1996;0,0020000;35,3000;;0,5500;;0,3000;1,3000;2,0000;867224,0000;0,0990;709,0000;0,1650;;13,3000
1997;0,0017900;35,3000;;0,5590;;0,2000;1,2000;2,0000;965338,0000;0,0920;781,0000;0,1020;;12,7000
1998;0,0007800;35,3000;;0,5680;;0,1000;1,4000;2,0000;1032570,0000;0,0780;828,0000;0,0600;;11,3600
1999;0,0087000;38,7000;;0,5760;;0,2000;1,5000;2,0000;1097140,0000;0,0770;872,0000;0,0540;;10,7600
2000;0,0100080;38,7000;;0,5850;;0,2000;1,6000;2,0000;1214920,0000;0,0850;959,0000;0,0990;;10,2300
2001;0,0100080;38,7000;;0,5940;;0,3000;1,4000;2,0000;1344080,0000;0,0830;1,0530;0,0990;;9,8300
2002;0,0189760;42,1000;;0,6020;;0,2000;1,4000;2,0000;1477500,0000;0,0910;1,1500;0,0920;;9,6200
2003;0,0187659;42,1000;;0,6110;;0,1000;1,3000;2,0000;1671070,0000;0,1000;1,2930;0,1240;;9,9900
2004;0,0208760;42,1000;;0,6230;;0,1000;1,2000;2,0000;1966240,0000;0,1010;1,5130;0,1700;;10,3600
2005;0,0234099;41,0000;;0,6350;;0,2000;1,3000;2,0000;2308800,0000;0,1140;1,7660;0,1670;10500,0000;10,2800
2006;0,0340000;41,0000;;0,6470;;0,1000;1,3500;2,0000;2774290,0000;0,1270;2,1110;0,1950;11300,0000;9,9200
2007;0,0402687;41,0000;;0,6610;;0,0500;1,3300;2,0000;3571450,0000;0,1420;2,7030;0,2810;10800,0000;9,4500
2008;0,0178656;42,9000;2,0250;0,6750;;0,0700;1,2700;2,0000;4604290,0000;0,0970;3,4670;0,2830;12866,0000;8,8900
2009;0,0143910;42,9000;2,0450;0,6850;;0,0700;1,2700;2,0000;5121680,0000;0,0940;3,8380;0,1070;8000,0000;8,6900
2010;0,0163408;43,7000;2,1420;0,6940;;0,0600;1,3200;2,0000;6066350,0000;0,1060;4,5240;0,1790;10572,0000;8,6800
2011;0,0172713;42,4000;2,1540;0,7060;53,0600;0,0600;1,3100;2,0000;7522100,0000;0,0950;5,5830;0,2340;11980,0000;8,5000
2012;0,0142586;42,2000;2,1570;0,7140;52,5000;0,0500;1,3200;2,0000;8570350,0000;0,0790;6,3290;0,1340;12720,0000;8,1900
2013;0,0136295;39,7000;2,1600;0,7220;50,5700;0,0500;1,2200;2,0000;9635030,0000;0,0780;7,0810;0,1190;13680,0000;7,8500
2014;0,0097948;39,1000;2,2070;0,7290;47,4700;0,0400;1,1000;2,0000;10534530,0000;0,0730;7,7020;0,0880;16257,0000;7,4300
2015;0,0032623;38,6000;2,2420;0,7380;46,5700;0,0500;1,1000;2,0000;11226190,0000;0,0690;8,1670;0,0600;17511,0000;7,4000
2016;0,0024845;38,5000;2,2430;0,7430;44,6600;0,0600;1,1200;2,0000;11221840,0000;0,0670;8,1160;-0,0060;17149,0000;7,4000
2017;0,0142034;38,5000;2,2670;0,7480;45,4000;0,0450;1,1200;2,0000;12062280,0000;0,0680;8,6770;0,0690;12777,9167;8,5567
2018;0,0172454;38,5000;2,2880;0,7520;46,4300;0,0350;1,1200;2,0000;13407400,0000;;9,6450;0,1120;;
2019;0,0141458;;;;;;;;;;;;;
2020;0,0140865;;;;;;;;;;;;;
2021;0,0143502;;;;;;;;;;;;;
2022;0,0173922;;;;;;;;;;;;;
2023;0,0142926;;;;;;;;;;;;;
2024;0,0142333;;;;;;;;;;;;;
2025;0,0144970;;;;;;;;;;;;;
2026;0,0175391;;;;;;;;;;;;;
2027;0,0144394;;;;;;;;;;;;;
2028;0,0143802;;;;;;;;;;;;;
2029;0,0146438;;;;;;;;;;;;;
2030;0,0176859;;;;;;;;;;;;;
