year;SGR;GINI;GPI;HDI;GIR;ER;Footprint;Biocapacity;GDP;GDP_growth;GDP_per_capita;GDP_Annual_growth;DowJons_in;Energy_Intensity_index
1989;;;;;;;;;5065,0000;;3,4460;;;
1990;;;;;;;;;516814,0000;;3,5020;;;12,0300
1991;;;;0,7000;;;;;517963,0000;-0,0500;3,4990;0,0160;;12,5500
1992;;48,4000;;0,7010;;;;;91625,0000;-0,1450;618,0000;-0,0010;;13,4100
1993;;48,4000;;0,7020;;;;;196752,0000;-0,0870;1,3260;-0,8230;;13,8600
1994;;48,4000;;0,7030;;;;;296466,0000;-0,1270;1,9980;1,1460;;13,8700
1995;;46,1000;;0,7040;;;;;335664,0000;-0,0410;2,2640;0,5070;;14,0200
1996;0,14 ;38,4000;;0,7090;;0,8000;0,4700;0,6400;419522,0000;-0,0360;2,8330;0,1330;;14,3900
1997;0,14 ;38,1000;;0,7100;;0,9000;0,4800;0,6580;433619,0000;0,0140;2,9340;0,2520;;13,5600
1998;0,16 ;37,4000;;0,7180;;1,0000;0,4300;0,6290;290231,0000;-0,0530;1,9690;0,0360;;13,9900
1999;0,18 ;37,1000;;0,7200;;1,1000;0,4300;0,6380;20977,0000;0,0640;1,4280;-0,3290;;13,6200
2000;0,13 ;36,9000;;0,7270;;1,2000;0,4300;0,6500;278075,0000;0,1000;1,8990;-0,2750;;12,5900
2001;0,18 ;37,3000;;0,7290;;1,3000;0,4300;0,6690;328276,0000;0,0510;2,2510;0,3300;;12,1100
2002;0,18 ;40,0000;;0,7320;;1,4000;0,4300;0,6730;369939,0000;0,0470;2,5480;0,1850;;11,5100
2003;0,14 ;40,3000;;0,7340;;1,5000;0,4300;0,6620;460746,0000;0,0730;3,1870;0,1320;;11,1100
2004;0,17 ;41,3000;;0,7400;;1,1800;0,4300;0,6680;632765,0000;0,0720;4,3930;0,2510;;10,4000
2005;0,14 ;41,0000;;0,7460;;0,8000;0,4300;0,6720;817752,0000;0,0640;5,6940;0,3790;;10,2800
2006;0,14 ;42,3000;;0,7520;;0,9000;0,4300;0,6770;1059990,0000;0,0820;7,3960;0,2960;;9,9200
2007;0,16 ;41,6000;;0,7590;;1,0000;0,4300;0,6880;1391680,0000;0,0850;9,7220;0,2990;1330,0000;9,4500
2008;0,18 ;39,8000;2,8750;0,7670;;1,1000;0,4300;0,6980;1778390,0000;0,0520;12,4290;0,3150;725,0000;8,8900
2009;0,13 ;39,5000;2,9540;0,7710;;1,2000;0,4300;0,6890;1309170,0000;-0,0780;9,1490;0,2790;1031,0000;8,6900
2010;0,18 ;39,7000;2,9690;0,7740;;1,3000;0,4300;0,6600;1632840,0000;0,0450;11,4060;-0,2640;1052,0000;8,6800
2011;0,18 ;40,7000;2,9820;0,7800;37,9000;1,4000;0,4300;0,6800;2044620,0000;0,0430;14,2720;0,2470;944,0000;8,5000
2012;0,14 ;40,9000;3,0390;0,7890;38,8000;1,5000;0,4300;0,6650;2202670,0000;0,0370;15,3580;0,2510;1082,0000;8,1900
2013;0,17 ;39,9000;3,0470;0,7980;38,5000;1,1800;0,4300;0,6800;2289240,0000;0,0180;15,9420;0,0760;1253,0000;7,8500
2014;0,19 ;37,7000;3,0600;0,8040;39,3200;1,5300;0,4300;0,6880;2056580,0000;0,0070;14,3060;0,0380;1245,0000;7,4300
2015;0,19 ;37,7000;3,0640;0,8070;39,1400;1,5500;0,4300;0,6890;1363710,0000;-0,0280;9,4780;-0,1030;1053,0000;7,4000
2016;0,26 ;37,7000;3,0790;0,8130;37,2000;1,3400;0,4300;0,6600;1282660,0000;-0,0020;8,9100;-0,3380;;7,4000
2017;0,2 ;37,7000;3,0830;0,8150;37,9000;1,3796;0,4300;0,6761;1578420,0000;0,0160;10,9620;-0,0600;;
2018;0,2 ;37,7000;3,1600;0,8160;35,8500;1,4733;0,4300;0,6841;;;;0,2300;;
2019;0,2 ;;;;;;;;;;;;;
2020;0,2 ;;;;;;;;;;;;;
2021;0,3 ;;;;;;;;;;;;;
2022;0,3 ;;;;;;;;;;;;;
2023;0,3 ;;;;;;;;;;;;;
2024;0,3 ;;;;;;;;;;;;;
2025;0,3 ;;;;;;;;;;;;;
2026;0,3 ;;;;;;;;;;;;;
2027;0,3 ;;;;;;;;;;;;;
2028;0,3 ;;;;;;;;;;;;;
2029;0,3 ;;;;;;;;;;;;;
2030;0,3 ;;;;;;;;;;;;;
